1.000000e-01 9.998653e-01 3.475209e-05 9.858597e-05 1.388278e-06 9.990005e-01 1.471163e-06 9.980168e-04
2.000000e-01 9.998307e-01 6.902004e-05 9.753673e-05 2.756570e-06 9.990010e-01 2.892082e-06 9.960664e-04
3.000000e-01 9.997962e-01 1.028107e-04 9.684172e-05 4.109943e-06 9.990016e-01 4.269180e-06 9.941479e-04
4.000000e-01 9.997619e-01 1.361310e-04 9.649061e-05 5.453309e-06 9.990021e-01 5.608583e-06 9.922603e-04
5.000000e-01 9.997277e-01 1.689875e-04 9.647331e-05 6.791428e-06 9.990027e-01 6.916133e-06 9.904030e-04
6.000000e-01 9.996937e-01 2.013868e-04 9.677996e-05 8.128909e-06 9.990032e-01 8.197397e-06 9.885752e-04
7.000000e-01 9.996598e-01 2.333354e-04 9.740091e-05 9.470215e-06 9.990038e-01 9.457676e-06 9.867764e-04
8.000000e-01 9.996260e-01 2.648397e-04 9.832673e-05 1.081967e-05 9.990043e-01 1.070201e-05 9.850062e-04
9.000000e-01 9.995924e-01 2.959060e-04 9.954821e-05 1.218146e-05 9.990048e-01 1.193521e-05 9.832644e-04
1.000000e+00 9.995588e-01 3.265405e-04 1.010563e-04 1.355962e-05 9.990053e-01 1.316182e-05 9.815505e-04
1.100000e+00 9.995255e-01 3.567493e-04 1.028423e-04 1.495808e-05 9.990057e-01 1.438617e-05 9.798646e-04
1.200000e+00 9.994922e-01 3.865385e-04 1.048975e-04 1.638061e-05 9.990062e-01 1.561236e-05 9.782065e-04
1.300000e+00 9.994590e-01 4.159140e-04 1.072136e-04 1.783089e-05 9.990066e-01 1.684428e-05 9.765763e-04
1.400000e+00 9.994260e-01 4.448819e-04 1.097823e-04 1.931243e-05 9.990069e-01 1.808562e-05 9.749740e-04
1.500000e+00 9.993931e-01 4.734478e-04 1.125956e-04 2.082866e-05 9.990073e-01 1.933984e-05 9.733999e-04
1.600000e+00 9.993604e-01 5.016177e-04 1.156456e-04 2.238287e-05 9.990075e-01 2.061024e-05 9.718541e-04
